,sg_symbol,sg_number
mp-975274,Pm-3m,221
mp-776842,Pbca,61
mp-24852,Pm-3m,221
mp-973352,P6_3/mmc,194
mp-775334,Pm,6
mp-5901,Cmcm,63
mp-6569,Pnma,62
mp-780037,Cc,9
mp-772250,P-1,2
mp-775989,R3,146
mp-685615,P1,1
mp-1024,R-3m,166
mp-19203,C2/c,15
mp-558847,P2_1/c,14
mp-776452,Cm,8
mp-10086,P4/nmm,129
mp-771803,P4_322,95
mp-554886,P-1,2
mp-28474,P-42_1m,113
mp-8390,I4_1/amd,141
mp-560721,P2_12_12_1,19
mp-10721,Fd-3m,227
mp-29787,P321,150
mp-17944,P321,150
mp-769849,P6_3mc,186
mp-772373,R3,146
mp-767918,P1,1
mp-571664,I4/mcm,140
mp-16305,P-62m,189
mp-545598,Cmmm,65
mp-762050,Cm,8
mp-763856,P1,1
mp-672646,P1,1
mp-18862,P2_1/c,14
mp-761609,P2_1/m,11
mp-2895,Pnma,62
mp-977059,P-62m,189
mp-764239,P2_1,4
mp-772181,P2_13,198
mp-779241,P1,1
mp-773320,P6_422,181
mp-775156,Pbca,61
mp-541040,P-42_1m,113
mp-779456,P4/n,85
mp-18634,R-3,148
mp-776853,Cm,8
mp-16830,R-3m,166
mp-566586,P-1,2
mp-554147,P2_1/m,11
mp-9915,P4/nmm,129
mp-4200,I4_1/amd,141
mp-626538,P1,1
mp-768482,R-3c,167
mp-21227,P6_3/mcm,193
mp-639787,P2_13,198
mp-772344,P1,1
mp-604910,P4/nmm,129
mp-680384,P1,1
mp-752496,P2_1/c,14
mp-757850,Pnma,62
mp-780790,Pbcn,60
mp-706629,R32,155
mp-722527,P2_1/c,14
mp-675332,Fm-3c,226
mp-680781,Cc,9
mp-9984,P6_3mc,186
mp-27758,Cmcm,63
mp-23771,R3m,160
mp-972296,Pm-3m,221
mp-6960,Ibam,72
mp-767041,Cm,8
mp-569147,I4mm,107
mp-642031,Fm-3m,225
mp-558595,P-3m1,164
mp-27162,Pnma,62
mp-554791,P-43n,218
mp-773550,P1,1
mp-851118,Cccm,66
mp-849359,C2/m,12
mp-864993,Pbam,55
mp-765147,Pnma,62
mp-556198,P2_1/c,14
mp-767982,P1,1
mp-540872,Fd-3m,227
mp-865972,Cmcm,63
mp-9127,P-31m,162
mp-571056,P-43n,218
mp-11101,Pnma,62
mp-752434,R-3,148
mp-768385,P2_1/c,14
mp-779545,R-3c,167
mp-21552,C2/c,15
mp-771562,C2/m,12
mp-18992,Fm-3m,225
mp-769021,P2_1,4
mp-763724,P2_1/c,14
mp-756376,P1,1
mp-780805,P1,1
mp-671913,P2_1/c,14
mp-8581,I4/mmm,139
mp-21194,P4/nmm,129
mp-761916,Pnma,62
mp-767812,C2/m,12
mp-542459,C2/c,15
mp-22302,Pnma,62
mp-777595,C2/m,12
mp-767367,P2_12_12_1,19
mp-779046,Pc,7
mp-25502,C2/c,15
mp-30892,I-43d,220
mp-754736,I4/mmm,139
mp-555359,I4/mcm,140
mp-21674,Pnma,62
mp-28868,P6_3/mcm,193
mp-772273,P-1,2
mp-11722,I4_1/amd,141
mp-555231,C2/c,15
mp-7822,P6_3/mcm,193
mp-25483,P1,1
mp-565698,P-1,2
mp-760684,P2_1,4
mp-34022,Imma,74
mp-12469,Cmcm,63
mp-853177,R3,146
mp-560671,Fm-3m,225
mp-707976,P2_1/c,14
mp-558980,P6_3,173
mp-554481,Pnma,62
mp-556754,C2/c,15
mp-19469,I4_1/a,88
mp-540731,P-1,2
mp-680417,P2_1/c,14
mp-555467,P2_1/c,14
mp-721471,P2_1/c,14
mp-28706,Fmmm,69
mp-556406,Pbca,61
mp-766942,Pnma,62
mp-20418,Pnma,62
mp-740930,P-1,2
mp-28084,Fm-3m,225
mp-773176,P2_1/m,11
mp-15788,R-3m,166
mp-557302,P-1,2
mp-771965,P1,1
mp-667369,Pbca,61
mp-505534,Pm-3m,221
mp-767473,P2_1,4
mp-768736,P2_1/c,14
mp-780099,C2,5
mp-2410,P6/mmm,191
mp-11486,Cmcm,63
mp-774323,P1,1
mp-556325,P2_1/c,14
mp-767015,Pmn2_1,31
mp-649084,P4_2/m,84
mp-621176,P-62m,189
mp-773430,Pa-3,205
mp-6115,P2_13,198
mp-674352,P1,1
mp-764136,P2_1/c,14
mp-865120,Pm-3m,221
mp-704109,P2_1/m,11
mp-4823,P-3m1,164
mp-561974,P1,1
mp-775012,R-3,148
mp-20983,P6_3/mmc,194
mp-21351,P6_3/mmc,194
mp-11248,Pm-3m,221
mp-10419,Cc,9
mp-626735,P1,1
mp-19025,Pm-3m,221
mp-849949,Pnma,62
mp-570483,P6_3/mcm,193
mp-971926,Fm-3m,225
mp-600191,P2_1/c,14
mp-763235,P1,1
mp-6955,Pca2_1,29
mp-571264,P2_1/c,14
mp-778912,Pba2,32
mp-775494,Pm,6
mp-1167,C2/c,15
mp-867891,P6_3/mmc,194
mp-28022,Fm-3m,225
mp-18483,P2_1/c,14
mp-6706,Pna2_1,33
mp-31256,C2/m,12
mp-985,Pm-3m,221
mp-990,I4/mmm,139
mp-768243,Pnma,62
mp-774266,P1,1
mp-761164,C2/m,12
mp-775088,Cmce,64
mp-12441,Pnma,62
mp-554711,P2_1/c,14
mp-765808,P-3m1,164
mp-767497,P3,143
mp-23264,Pmmn,59
mp-6524,R32,155
mp-27212,P2_1/c,14
mp-30010,P2_1/c,14
mp-778892,P1,1
mp-720406,P-1,2
mp-7444,P2_12_12_1,19
mp-600165,Pnma,62
mp-677108,P1,1
mp-973773,P4/mmm,123
mp-767030,P-1,2
mp-542926,Cc,9
mp-978554,Fm-3m,225
mp-1270,Pnma,62
mp-29882,Ibam,72
mp-560839,Pnnm,58
mp-625868,P2_1,4
mp-30206,Pnma,62
mp-551758,F-43m,216
mp-686583,R32,155
mp-23181,Pbca,61
mp-754,Pa-3,205
mp-2250,Fd-3m,227
mp-15621,Pa-3,205
mp-763887,P2_1/c,14
mp-5048,I-42d,122
mp-561368,Pnma,62
mp-770906,P2_1/c,14
mp-14019,Cmcm,63
mp-765191,P2_1/c,14
mp-554598,P-1,2
mp-559020,P2_1/c,14
mp-769900,Fd-3m,227
mp-849092,P4/nmm,129
mp-772690,C2/m,12
mp-765761,Cc,9
mp-6721,R-3c,167
mp-25566,P2_1/c,14
mp-11959,Cmcm,63
mp-7921,R-3,148
mp-764248,P2_1,4
mp-849520,P1,1
mp-780044,C2/c,15
mp-777623,Fddd,70
mp-765946,P4_2nm,102
mp-13005,P6_3/mmc,194
mp-759390,P2/c,13
mp-763219,Pm,6
mp-561879,I4/m,87
mp-743771,Cc,9
mp-868668,P-1,2
mp-20233,P4/nmm,129
mp-778538,Cm,8
mp-22739,Cmcm,63
mp-19622,C2/c,15
mp-764591,P1,1
mp-8683,P6_3/mmc,194
mp-867893,P6_3/mmc,194
mp-637378,Pm-3m,221
mp-771879,P2_1,4
mp-774119,Pm,6
mp-772644,P2_1/c,14
mp-615550,P2_1/c,14
mp-560608,I4_1/acd,142
mp-704632,Cmmm,65
mp-28534,Cmcm,63
mp-30490,P6_3/mmc,194
mp-31084,Pbam,55
mp-31215,P-1,2
mp-540071,P-1,2
mp-696347,Cc,9
mp-11738,Cmc2_1,36
mp-20310,Pna2_1,33
mp-771745,P6_3mc,186
mp-763155,Cm,8
mp-766141,R3,146
mp-669465,P-1,2
mp-764515,P1,1
mp-558219,Cc,9
mp-510486,Fd-3m,227
mp-32508,P2/c,13
mp-28577,I4/mcm,140
mp-733877,P2_1/c,14
mp-779599,Pnma,62
mp-744084,P2_1/m,11
mp-978796,Fm-3m,225
mp-555153,C2/m,12
mp-510535,P2_1/c,14
mp-775001,P1,1
mp-607004,Pnma,62
mp-642625,P3,143
mp-765804,Fm-3m,225
mp-505396,P-1,2
mp-976289,Fm-3m,225
mp-540795,P6_3/mmc,194
mp-764476,P1,1
mp-540686,Pnna,52
mp-768038,R-3m,166
mp-555082,C2/c,15
mp-22935,I4/mmm,139
mp-973969,Fm-3m,225
mp-19762,Pm-3m,221
mp-16978,P6_3/mmc,194
mp-760676,Pmn2_1,31
mp-777603,P1,1
mp-649833,P6_3/m,176
mp-25148,P4_2/mnm,136
mp-510546,C2/m,12
mp-763990,P1,1
mp-769493,Pc,7
mp-768137,P2_1/m,11
mp-556405,Cmcm,63
mp-30283,Pbam,55
mp-28964,Pbam,55
mp-510076,Immm,71
mp-550433,I-42d,122
mp-772699,C2/m,12
mp-22860,P6_3/mmc,194
mp-9263,R-3m,166
mp-9770,Pna2_1,33
mp-770880,P-1,2
mp-13042,R-3c,167
mp-851031,Cm,8
mp-541513,Pbcm,57
mp-768875,P-1,2
mp-569224,P2_1/c,14
mp-10643,P6_3mc,186
mp-865136,P2_1/c,14
mp-4187,Cmc2_1,36
mp-769903,Fd-3m,227
mp-505814,P4/mmm,123
mp-560884,Pnma,62
mp-624214,P6_3/mmc,194
mp-559476,P2_1/c,14
mp-556783,P1,1
mp-29394,P-3m1,164
mp-555277,P6_3/mcm,193
mp-770228,P2_1/c,14
mp-11107,P-3m1,164
mp-853233,P1,1
mp-777019,P6_3cm,185
mp-754818,Fd-3m,227
mp-850075,Pca2_1,29
mp-4370,I4/mmm,139
mp-570744,P-43m,215
mp-756933,Fd-3m,227
mp-28731,P3_112,151
mp-754046,Pm-3m,221
mp-889,Immm,71
mp-7017,R-3m,166
mp-976252,Fm-3m,225
mp-22053,I-42m,121
mp-764140,P4_332,212
mp-773600,P4_322,95
mp-555846,P2_1,4
mp-510099,P6_3/m,176
mp-971712,P-4m2,115
mp-722714,C2/c,15
mp-765896,Pc,7
mp-690674,Cmce,64
mp-756745,P1,1
mp-756443,Cc,9
mp-924130,F-43m,216
mp-253,Fd-3m,227
mp-554205,C2/m,12
mp-849982,P1,1
mp-566977,P2_1,4
mp-763413,P1,1
mp-771931,P1,1
mp-1714,Cmce,64
mp-13427,P4/mbm,127
mp-28712,C2/m,12
mp-3187,Pnma,62
mp-764202,Pc,7
mp-570718,P6_3/mmc,194
mp-685352,Cm,8
mp-30982,P2_1/c,14
mp-19294,P2_1,4
mp-3286,I4/mmm,139
mp-757532,P2_1/c,14
mp-21526,I4_1/acd,142
mp-581361,C2/m,12
mp-23904,Pmc2_1,26
mp-541709,C2/m,12
mp-29092,P2_1/m,11
mp-19828,Pm-3m,221
mp-11383,Fd-3m,227
mp-626573,P1,1
mp-644271,Ama2,40
mp-571519,P3m1,156
mp-567433,Pnma,62
mp-29001,Pbcn,60
mp-505747,P2_1/m,11
mp-569724,P6_3mc,186
mp-541798,P2_1/c,14
mp-6050,C2/c,15
mp-775206,R3,146
mp-27473,P2_1/c,14
mp-773166,P-1,2
mp-709352,P4_2/n,86
mp-697715,P4/nmm,129
mp-19621,P2_1/c,14
mp-561181,Amm2,38
mp-505515,P4/nmm,129
mp-31373,Cc,9
mp-27679,R-3m,166
mp-568785,P2_1/c,14
mp-19053,Pm-3m,221
mp-753945,P-1,2
mp-11534,Pnma,62
mp-780883,C2/m,12
mp-17433,P2_1/c,14
mp-568656,P3m1,156
mp-38802,Imma,74
mp-2483,Fd-3m,227
mp-3795,Pnma,62
mp-555678,P-3,147
mp-560653,C2/m,12
mp-18779,Cmcm,63
mp-24935,I4/mmm,139
mp-626654,P1,1
mp-425,P6/mmm,191
mp-3248,I4_1/amd,141
mp-735022,Pbca,61
mp-771214,P-1,2
mp-568541,Immm,71
mp-626829,P1,1
mp-31661,C2,5
mp-19146,P2_1/c,14
mp-777604,C2/m,12
mp-775867,P1,1
mp-4961,I4/mmm,139
mp-20327,Pnma,62
mp-704942,Pc,7
mp-686571,P3,143
mp-757131,C2/c,15
mp-19260,C2/c,15
mp-686572,Pc,7
mp-752735,Fm-3m,225
mp-768176,Cmc2_1,36
mp-978273,Pm-3m,221
mp-3443,Fd-3m,227
mp-16747,P-62m,189
mp-776859,P1,1
mp-20777,Pnma,62
mp-15417,P2_1/c,14
mp-505499,Pbam,55
mp-981390,Pm-3m,221
mp-19740,P-62m,189
mp-553281,C2/m,12
mp-19516,Pbcn,60
mp-510559,Pmmn,59
mp-770474,P-1,2
mp-766931,Pmn2_1,31
mp-977113,Fm-3m,225
mp-22248,C2/c,15
mp-30444,Fd-3m,227
mp-19330,I4_1/a,88
mp-19421,P2/c,13
mp-868280,Pm,6
mp-735808,P1,1
mp-12784,Pnma,62
mp-640562,Fm-3m,225
mp-705341,P-42_1c,114
mp-26549,Pbcn,60
mp-1447,Fm-3m,225
mp-773779,P6_3mc,186
mp-780425,P2_1/c,14
mp-29254,P4/nmm,129
mp-779993,P1,1
mp-21152,Fm-3m,225
mp-759939,Pmma,51
mp-11419,P6/mmm,191
mp-553914,P6_3/mmc,194
mp-551092,C2/m,12
mp-567090,P3c1,158
mp-16610,Pbcn,60
mp-22050,P4/mbm,127
mp-8597,P4_2/mbc,135
mp-31362,P2_1/c,14
mp-977239,Fm-3m,225
mp-560789,Cmce,64
mp-22646,Pnma,62
mp-22625,Fd-3m,227
mp-690799,Fd-3m,227
mp-27351,P2_1/c,14
mp-685320,P1,1
mp-542433,Pmma,51
mp-24155,Fm-3m,225
mp-764094,P1,1
mp-772383,P1,1
mp-677467,P3m1,156
mp-556060,P4/nmm,129
mp-2287,P2_1/c,14
mp-677370,Pca2_1,29
mp-30438,P6_3/mmc,194
mp-24417,P6_3/mmc,194
mp-761476,P1,1
mp-555438,Pnc2,30
mp-771995,P-1,2
mp-505630,Ibam,72
mp-774018,C2/m,12
mp-765101,C2/m,12
mp-567027,Pba2,32
mp-698313,P-1,2
mp-568244,I4/mcm,140
mp-647226,Pnna,52
mp-850361,P2_1,4
mp-24976,P-1,2
mp-774364,Pna2_1,33
mp-978953,Fm-3m,225
mp-763258,P2_1/c,14
mp-28845,P2_1/c,14
mp-554650,P-62c,190
mp-541963,Pnma,62
mp-604315,Pmc2_1,26
mp-12857,I4/mmm,139
mp-8727,R-3c,167
mp-8347,Pnma,62
mp-850988,P-1,2
mp-776849,P1,1
mp-622171,Pnma,62
mp-765856,P4/mmm,123
mp-559117,C2/m,12
mp-754266,R-3,148
mp-686543,Pc,7
mp-567855,P2_12_12_1,19
mp-770954,Cm,8
mp-738615,C2/c,15
mp-535,Pm-3m,221
mp-685108,P1,1
mp-776217,Cm,8
mp-707543,P-1,2
mp-755526,Cm,8
mp-764971,P1,1
mp-672372,P2_12_12_1,19
mp-770184,C2/m,12
mp-775559,P-1,2
mp-8299,I4/mmm,139
mp-753572,Cc,9
mp-8666,I4/mmm,139
mp-34710,Pnma,62
mp-772694,P2_1,4
mp-771765,C2/m,12
mp-1502,Fm-3m,225
mp-570078,F-43m,216
mp-28253,Ibam,72
mp-23724,P-1,2
mp-18940,I4/m,87
mp-8882,P6_3mc,186
mp-973779,Fm-3m,225
mp-973930,Pm-3m,221
mp-19945,P4/mbm,127
mp-768025,R-3,148
mp-770744,Cm,8
mp-32,Fd-3m,227
mp-604229,Pna2_1,33
mp-11411,Cmcm,63
mp-31882,P2_1/c,14
mp-762581,Pna2_1,33
mp-853201,Fd-3,203
mp-769769,C222_1,20
mp-757745,Cmcm,63
mp-568949,Cmcm,63
mp-6406,Pc,7
mp-770873,C2/c,15
mp-14234,Pbca,61
mp-604008,Pnma,62
mp-208,Pnma,62
mp-28255,P4/nmm,129
mp-561447,P2_1/c,14
mp-868530,P1,1
mp-559660,C2/c,15
mp-18994,Pnma,62
mp-7947,P4_2/mmc,131
mp-540995,I4cm,108
mp-853199,Pm,6
mp-18313,P-1,2
mp-505061,P-1,2
mp-541113,P4_1,76
mp-775214,P4_322,95
mp-780819,P-4m2,115
mp-27791,P-62c,190
mp-11577,Fm-3m,225
mp-555178,Pccn,56
mp-505132,P2_1/m,11
mp-754960,R-3m,166
mp-769622,Cm,8
mp-600049,C222_1,20
mp-29644,P-3m1,164
mp-4519,R-3m,166
mp-569132,P2_1/c,14
mp-20819,Pnma,62
mp-974788,R-3m,166
mp-30269,I4mm,107
mp-31563,Pc,7
mp-774299,P1,1
mp-978284,P-1,2
mp-20826,Pmmn,59
mp-777005,Cmmm,65
mp-779237,C2/m,12
mp-567457,Cmcm,63
mp-10967,I-42m,121
mp-540628,Pbca,61
mp-571567,P3m1,156
mp-29313,P4_32_12,96
mp-770729,Pca2_1,29
mp-558804,Pna2_1,33
mp-556169,P2_1/c,14
mp-975206,Pm-3m,221
mp-690518,R3,146
mp-743846,P-1,2
mp-504923,P2_1,4
mp-694906,I23,197
mp-715035,Pma2,28
mp-669391,P6_3/mmc,194
mp-770669,C2,5
mp-34381,Imm2,44
mp-28562,C2/c,15
mp-29849,P2_1/m,11
mp-1443,P2_1/c,14
mp-754698,C2/m,12
mp-605027,P6_3/mmc,194
mp-559249,C2/c,15
mp-36194,P4/mmm,123
mp-4142,F-43m,216
mp-12754,Cmcm,63
mp-626994,P2_1/c,14
mp-755084,P4_2/nmc,137
mp-974467,I4/mmm,139
mp-631194,I4/mcm,140
mp-676703,P4_2/nmc,137
mp-771723,Cm,8
mp-779400,P1,1
mp-19134,P-1,2
mp-27485,Pbca,61
mp-557950,I4mm,107
mp-12929,I4_1/amd,141
mp-780537,C2/m,12
mp-17658,I4/mmm,139
mp-775847,Pnma,62
mp-20177,I4/mmm,139
mp-868345,P2_1/m,11
mp-768330,Cc,9
mp-778446,P2_1/c,14
mp-776786,P2_1/c,14
mp-23339,P2_13,198
mp-686466,P1,1
mp-510057,Pna2_1,33
mp-867294,Pnma,62
mp-763060,Pna2_1,33
mp-780020,C2/m,12
mp-19672,P-1,2
mp-684736,P1,1
mp-763852,P2_1,4
mp-753947,Pmn2_1,31
mp-763941,Amm2,38
mp-567698,P6_3/mmc,194
mp-28597,Pbcn,60
mp-566493,P2_1/c,14
mp-554793,P4_2/n,86
mp-641945,P2_1/m,11
mp-764154,P-3m1,164
mp-542451,P2_1/m,11
mp-572741,P2_1/c,14
mp-28667,Pnma,62
mp-752840,Cmcm,63
mp-849330,C2/m,12
mp-768954,P2_1/c,14
mp-779167,P1,1
mp-27451,P2_12_12_1,19
mp-541032,Cm,8
mp-635471,P4/mmm,123
mp-764489,P1,1
mp-8190,P-1,2
mp-555259,P2_1/c,14
mp-699558,R3,146
mp-30710,R-3m,166
mp-20588,P4/nmm,129
mp-980645,Fm-3m,225
mp-770136,P-1,2
mp-558270,Pnma,62
mp-974789,Fm-3m,225
mp-762298,P2_1/c,14
mp-5590,P-62m,189
mp-6135,Fm-3m,225
mp-542749,P2_1,4
mp-777448,P2/c,13
mp-6560,P2_1/m,11
mp-771304,P2_1/m,11
mp-28369,Cmc2_1,36
mp-30719,Pnma,62
mp-25460,P2_1/m,11
mp-690789,Fm-3m,225
mp-675163,Amm2,38
mp-743693,Pbca,61
mp-28990,P2_1/c,14
mp-761312,P6_3mc,186
mp-571261,Fddd,70
mp-557719,Cmce,64
mp-17375,Pnnm,58
mp-19359,R-3m,166
mp-21583,Pnnm,58
mp-27634,P2_1/c,14
mp-565521,P-1,2
mp-22585,Pnma,62
mp-2147,Cmcm,63
mp-27798,P2_1/c,14
mp-683910,C2/c,15
mp-621924,C2/c,15
mp-697170,Pnma,62
mp-775530,R-3m,166
mp-768341,Pnma,62
mp-29417,P-31c,163
mp-767665,P-1,2
mp-761979,P1,1
mp-733848,P2_1/c,14
mp-776486,R-3,148
mp-777556,C2/m,12
mp-16505,Immm,71
mp-754605,I4_1/amd,141
mp-19438,Cmcm,63
mp-19247,I4_1/amd,141
mp-570005,Pnma,62
mp-11603,Cmcm,63
mp-767523,P2_1/m,11
mp-704952,P1,1
mp-675918,P-1,2
mp-19224,R-3c,167
mp-1878,Fm-3c,226
mp-566918,P-1,2
mp-768315,Pbcn,60
mp-25501,P-1,2
mp-694958,P1,1
mp-779662,P6_3/mcm,193
mp-754409,R-3c,167
mp-770175,P6_3mc,186
mp-766726,P6_422,181
mp-675367,C2/c,15
mp-675462,P-1,2
mp-556880,P1,1
mp-612,C2/c,15
mp-32711,P4/n,85
mp-11250,Pnma,62
mp-761350,R3,146
mp-558851,Fm-3m,225
mp-770190,Cc,9
mp-21093,Cmcm,63
mp-763697,C2,5
mp-779274,Pc,7
mp-30669,Pnma,62
mp-770762,Cm,8
mp-8950,P6_3mc,186
mp-571587,P4/nmm,129
mp-9085,R-3m,166
mp-570007,P6_3/mmc,194
mp-569529,Immm,71
mp-704672,Fmmm,69
mp-560450,P2_1/c,14
mp-28623,P-1,2
mp-570558,I4/mmm,139
mp-977225,P6_3/mmc,194
mp-7388,I4/mcm,140
mp-767482,P1,1
mp-4649,C2/c,15
mp-28532,P2_1/c,14
mp-694975,P3m1,156
mp-721180,Pbca,61
mp-770750,P2_1/c,14
mp-2334,Pm-3m,221
mp-645208,Pnma,62
mp-32403,C2/m,12
mp-14526,R-3c,167
mp-764024,Cm,8
mp-1138,Fm-3m,225
mp-763392,C2/m,12
mp-696969,I4_1/amd,141
mp-510414,P-1,2
mp-619064,P-1,2
mp-23208,P6_3/m,176
mp-31626,P4_2/mnm,136
mp-754061,P2_1/m,11
mp-566695,C2/c,15
mp-15081,Pnma,62
mp-559932,P4_2/n,86
mp-771291,P-1,2
mp-776663,P1,1
mp-867722,R-3m,166
mp-14501,C2/c,15
mp-20169,P321,150
mp-974415,Fm-3m,225
mp-6854,Fm-3m,225
mp-18504,P2_1/c,14
mp-773339,P1,1
mp-756703,P2_1/c,14
mp-696290,P-1,2
mp-18739,P2/c,13
mp-571420,Immm,71
mp-32539,Pmc2_1,26
mp-774314,R3,146
mp-568173,I4_1/amd,141
mp-779789,P1,1
mp-770748,Pnma,62
mp-28914,Pa-3,205
mp-160,R-3m,166
mp-26157,P2_1/c,14
mp-684712,I-42d,122
mp-762463,P6_3,173
mp-752679,Fd-3m,227
mp-626690,P1,1
mp-765614,P-1,2
mp-569548,I4/mmm,139
mp-579014,P-3,147
mp-707238,P2_1/c,14
mp-698454,C2,5
mp-12644,Fm-3m,225
mp-675022,R32,155
mp-28326,P2_1/c,14
mp-758259,Cm,8
mp-31312,Pc,7
mp-22563,P2_1/m,11
mp-777506,C2/m,12
mp-542200,Cc,9
mp-12236,Ia-3d,230
mp-556883,Pnma,62
mp-554808,P2_1/c,14
mp-972837,Fm-3m,225
mp-1373,Pm-3n,223
mp-772473,P2_1/m,11
mp-3734,Cmcm,63
mp-864662,P6_3/mmc,194
mp-780642,P-1,2
mp-5836,I4_1/amd,141
mp-763609,P1,1
mp-21774,Pnma,62
mp-13948,P-3m1,164
mp-868843,P4_332,212
mp-761314,R3m,160
mp-568053,Im-3m,229
mp-17153,Pnma,62
mp-764137,P2_1,4
mp-559514,P6_3mc,186
mp-28593,Pm-3m,221
mp-557724,P4_2/mcm,132
mp-676629,P-4m2,115
mp-7188,I4/mmm,139
mp-777462,Cm,8
mp-766915,P1,1
mp-9203,I-43m,217
mp-782684,C2/m,12
mp-504727,P4/nmm,129
mp-771513,P2_1/m,11
mp-31803,P-1,2
mp-554355,P4/mmm,123
mp-698491,P4/nmm,129
mp-1969,C2/m,12
mp-780854,P2_1,4
mp-579529,Pccn,56
mp-10636,P2_1/m,11
mp-10852,P4/mbm,127
mp-6930,P3_221,154
mp-555487,Pbcn,60
mp-567483,P-3m1,164
mp-30474,Fm-3m,225
mp-569743,I4/mcm,140
mp-605824,P-43m,215
mp-555743,Cc,9
mp-561052,P1,1
mp-558725,P6_3/mmc,194
mp-541070,Cmcm,63
mp-554741,P2_1/c,14
mp-770534,P-1,2
mp-984107,P4/nmm,129
mp-27318,C2/c,15
mp-769784,P2_1/c,14
mp-975887,I4/mmm,139
mp-567013,R-3,148
mp-17722,P2_1/c,14
mp-10633,Fd-3m,227
mp-18073,Pmn2_1,31
mp-542817,P2_1,4
mp-774305,P-1,2
mp-768947,P1,1
mp-600045,Cmce,64
mp-623463,Pnma,62
mp-16721,Pbcm,57
mp-9023,P-6m2,187
mp-6800,P31c,159
mp-23285,Fm-3m,225
mp-771998,C222,21
mp-843,R-3m,166
mp-1935,P6_3/mmc,194
mp-763566,P2_1,4
mp-771585,R-3c,167
mp-780722,C2/m,12
mp-755609,I4/mmm,139
mp-764340,Pna2_1,33
mp-14753,Pa-3,205
mp-766928,P1,1
mp-25624,P2_1/c,14
mp-771279,C2,5
mp-754011,R-3,148
mp-571386,Fm-3m,225
mp-675514,P2_13,198
mp-567963,C2/c,15
mp-30618,Pnma,62
mp-560581,P2_1/c,14
mp-667336,P2_1/c,14
mp-542832,R3,146
mp-973886,Fm-3m,225
mp-6665,P2/c,13
mp-20637,P6_3mc,186
mp-13027,Pnma,62
mp-779096,Pnma,62
mp-631336,Fm-3m,225
mp-9081,R-3m,166
mp-770188,P2_1,4
mp-558566,P6_3/mmc,194
mp-680813,Cmcm,63
mp-979041,P6_3/mmc,194
mp-752733,C2/c,15
mp-19023,I4_1/amd,141
mp-764345,Pnma,62
mp-558667,C2/c,15
mp-565411,P2/c,13
mp-23406,Fm-3m,225
mp-8719,Ibam,72
mp-557614,P2_12_12_1,19
mp-778768,C2/m,12
mp-616026,Pnma,62
mp-695398,R32,155
mp-2943,Fm-3m,225
mp-775625,P1,1
mp-684027,Fd-3m,227
mp-24515,P4/n,85
mp-571651,Pnma,62
mp-9977,Ibam,72
mp-23427,Aea2,41
mp-551,Fd-3m,227
mp-560441,Cmcm,63
mp-29554,C2/m,12
mp-557870,Cmme,67
mp-556649,P-43n,218
mp-761025,P2_1/c,14
mp-17279,C2/m,12
mp-778775,Cm,8
mp-540644,C2/m,12
mp-775663,P2_1/m,11
mp-557668,R-3,148
mp-775489,R3,146
mp-767294,Pm,6
mp-23560,I-43d,220
mp-761503,P-1,2
mp-743646,C2/c,15
mp-762001,P1,1
mp-18867,R-3c,167
mp-865726,I4/mmm,139
mp-950,Fm-3c,226
mp-757276,C2/m,12
mp-618883,P6_3/mmc,194
mp-28212,P4_2/nmc,137
mp-779246,C2,5
mp-28432,Pbam,55
mp-680539,P-1,2
mp-28804,P-1,2
mp-777891,Pmn2_1,31
mp-31845,R-3c,167
mp-573751,P2_1/c,14
mp-6402,Pc,7
mp-764040,P1,1
mp-774753,Pbca,61
mp-778543,P-6,174
mp-643060,Immm,71
mp-771788,R-3,148
mp-8874,I-4,82
mp-868152,P1,1
mp-707104,P4_2,77
mp-18578,P2_1,4
mp-763084,Cm,8
mp-765029,P2_1/c,14
mp-1675,Cmcm,63
mp-777191,P1,1
mp-604313,P4_132,213
mp-764243,C2,5
mp-28628,Ibam,72
mp-1634,P6_3/mmc,194
mp-694963,P1,1
mp-777392,P1,1
mp-560950,P2_1/c,14
mp-647366,P2_1/c,14
mp-3772,I-4,82
mp-973976,P6_3mc,186
mp-867974,P2_1/c,14
mp-12240,P-42_1m,113
mp-707811,P2_1/c,14
mp-849474,P2_1,4
mp-31647,Fdd2,43
mp-560114,Pnma,62
mp-555118,Pnma,62
mp-23412,I-4,82
mp-559374,R3m,160
mp-556400,P4_2/mnm,136
mp-7423,P2_1/c,14
mp-773726,P1,1
mp-553949,P2_1/c,14
mp-690708,P2_1/c,14
mp-603612,P-1,2
mp-766754,C2/c,15
mp-758284,P2_1/c,14
mp-768097,P2_1/m,11
mp-567370,I-43d,220
mp-5887,P2_1/c,14
mp-756389,P4_2/mnm,136
mp-771612,Pnna,52
mp-22441,Fm-3m,225
mp-18800,Fddd,70
mp-764916,P1,1
mp-631436,F-43m,216
mp-504902,P2_1/c,14
mp-758720,C2/m,12
mp-600041,Cmce,64
mp-30969,P2_1/c,14
mp-777038,Pnma,62
mp-770489,P1,1
mp-30179,Cmcm,63
mp-20109,Pbam,55
mp-5840,I4_1/amd,141
mp-9569,P-3m1,164
mp-561639,P2_1/c,14
mp-31043,Pmna,53
mp-571623,P4/nnc,126
mp-972520,Fm-3m,225
mp-769485,P1,1
mp-541282,R-3c,167
