,sg_symbol,sg_number
mp-530303,Cm,8
mp-37480,I4_1/amd,141
mp-560334,Pca2_1,29
mp-504948,Pnma,62
mp-2131,Fddd,70
mp-13227,P6_3/mmc,194
mp-984053,Cmcm,63
mp-9765,Fd-3m,227
mp-19832,P4/nmm,129
mp-761616,P2_1/c,14
mp-753173,P4/nmm,129
mp-27200,P2_1/c,14
mp-753456,I-4,82
mp-9741,C2/m,12
mp-32482,P2_1/c,14
mp-23372,Fd-3m,227
mp-540538,C2/m,12
mp-642890,P-1,2
mp-705495,P2_1/c,14
mp-763331,Cmcm,63
mp-557483,P4/nmm,129
mp-7480,R-3m,166
mp-778385,Pbcn,60
mp-32409,P-1,2
mp-19967,Pnma,62
mp-558118,P6_222,180
mp-540273,P-1,2
mp-974856,I4/mmm,139
mp-6245,P2_1/c,14
mp-768166,R3c,161
mp-27573,P6_3,173
mp-676586,Pm,6
mp-3951,Fd-3m,227
mp-594,P6_3/mmc,194
mp-721017,C2/c,15
mp-756131,P4_2/mnm,136
mp-560365,R-3,148
mp-779465,Ama2,40
mp-673671,P1,1
mp-7610,I-42m,121
mp-755057,Cmc2_1,36
mp-554926,Pna2_1,33
mp-763707,Pm,6
mp-7226,Pm-3n,223
mp-675701,P2/m,10
mp-568823,Pmmn,59
mp-607230,Pnma,62
mp-17400,C2/c,15
mp-850974,C2/c,15
mp-761446,P2_1/c,14
mp-767559,P1,1
mp-573119,Pnma,62
mp-769858,Cm,8
mp-571580,P4_2/nmc,137
mp-853144,C2/m,12
mp-567427,I4/mmm,139
mp-559336,P2_1/m,11
mp-19435,P2/c,13
mp-675801,P2_1,4
mp-558114,P2_1/c,14
mp-669328,P2_1,4
mp-4979,I-42d,122
mp-30069,Fm-3m,225
mp-704189,P2_1/c,14
mp-769647,R-3m,166
mp-613620,Pbca,61
mp-29726,P6/mmm,191
mp-780977,P-1,2
mp-868323,Pnma,62
mp-20478,P4/nmm,129
mp-771591,P2_12_12_1,19
mp-12829,P-31c,163
mp-669564,P2_1/c,14
mp-561936,Pnma,62
mp-7814,R-3m,166
mp-706579,Pbcn,60
mp-13504,Pmma,51
mp-763659,P-1,2
mp-773164,Fd-3m,227
mp-542877,Ia-3,206
mp-694979,C2,5
mp-28894,P2_1/c,14
mp-9907,C2/m,12
mp-752725,Pnma,62
mp-21748,P6_3/m,176
mp-774409,P-1,2
mp-779864,P1,1
mp-570591,Pm-3m,221
mp-631277,Fm-3m,225
mp-10694,Pm-3m,221
mp-983583,Fm-3m,225
mp-766714,Cmce,64
mp-776280,P1,1
mp-757800,P1,1
mp-32375,P2/c,13
mp-866943,P4_122,91
mp-27161,I4_1/acd,142
mp-8891,R-3m,166
mp-7631,P6_3mc,186
mp-2544,R-3m,166
mp-540813,P-1,2
mp-546707,I-42m,121
mp-779229,P1,1
mp-17695,P6_3/mcm,193
mp-976407,I4/mmm,139
mp-4164,P4_2/mnm,136
mp-764459,P1,1
mp-626528,P1,1
mp-19924,Pnma,62
mp-554083,P2_1/c,14
mp-868488,P1,1
mp-555074,P6_3mc,186
mp-4584,P6_3/m,176
mp-38257,Immm,71
mp-759498,P2_1/c,14
mp-13610,R-3,148
mp-774275,P2_1,4
mp-675192,I-4m2,119
mp-773750,C2,5
mp-18244,P6_3mc,186
